event_date,country,partner_network,revenue,duration,total_mb
2026-02-03,Tanzania,Airtel Tanzania,51.43,137.39,1042.19
2026-02-04,Mozambique,Tmcel,57.96,113.97,472.73
2026-02-04,Kenya,Safaricom,46.09,151.82,477.82
2026-02-05,Tanzania,Airtel Tanzania,30.97,65.36,487.77
2026-02-07,South Africa,Vodacom SA,47.55,13.05,1218.43
2026-02-07,Mozambique,Vodacom Mozambique,27.21,79.99,6.38
2026-02-08,Tanzania,Airtel Tanzania,57.59,8.2,1550.06
2026-02-08,Kenya,Airtel Kenya,33.32,8.79,795.4
2026-02-08,Kenya,Airtel Kenya,52.8,147.15,1528.68
2026-02-09,South Africa,Cell C,90.82,166.48,1603.42
2026-02-09,Zimbabwe,Telecel Zimbabwe,40.25,149.47,551.4
2026-02-09,Zimbabwe,NetOne,61.17,48.53,1344.37
2026-02-10,Mozambique,Movitel,33.26,32.96,1971.46
2026-02-10,Kenya,Airtel Kenya,20.26,33.55,438.36
2026-02-10,Zimbabwe,Econet Wireless,27.56,128.05,639.86
2026-02-10,Mozambique,Vodacom Mozambique,54.99,170.79,1580.2
2026-02-11,Tanzania,Tigo Tanzania,36.02,48.93,436.04
2026-02-11,Tanzania,Tigo Tanzania,19.45,33.22,281.68
2026-02-12,South Africa,Cell C,48.54,173.8,683.27
2026-02-12,Mozambique,Movitel,54.11,149.87,161.76
2026-02-13,Tanzania,Tigo Tanzania,125.56,161.92,1631.48
2026-02-13,Kenya,Safaricom,18.16,83.3,164.07
2026-02-13,Kenya,Telkom Kenya,35.14,117.68,661.88
2026-02-13,Kenya,Telkom Kenya,42.76,40.12,873.59
2026-02-14,Zimbabwe,Telecel Zimbabwe,74.57,122.27,821.42
2026-02-14,Mozambique,Vodacom Mozambique,62.24,153.0,1328.8
2026-02-15,South Africa,Cell C,38.24,8.92,901.8
2026-02-16,Mozambique,Tmcel,29.51,76.82,570.26
2026-02-16,South Africa,Cell C,79.0,65.76,1550.41
2026-02-16,Tanzania,Vodacom Tanzania,34.05,60.01,1144.92
2026-02-16,Tanzania,Vodacom Tanzania,29.22,87.74,403.65
2026-02-17,Mozambique,Vodacom Mozambique,15.26,54.95,436.55
2026-02-18,South Africa,MTN South Africa,40.73,70.72,1577.69
2026-02-18,Kenya,Safaricom,73.41,146.16,1715.76
2026-02-18,South Africa,MTN South Africa,27.98,75.4,953.86
2026-02-18,Zimbabwe,Econet Wireless,47.36,151.19,156.86
2026-02-19,Kenya,Telkom Kenya,46.64,55.09,839.15
2026-02-19,South Africa,MTN South Africa,29.77,50.4,617.39
2026-02-20,Tanzania,Tigo Tanzania,25.72,61.84,1614.31
